invoice_no,customer_id,category,quantity,price,invoice_date,shopping_mall
I277974,C207180,Food & Beverage,2,10.46,03-03-2023,Kanyon
I165449,C222042,Technology,2,2100.0,18.12.2021,Metropol AVM
I334370,C125321,Toys,3,107.52,05-08-2022, KANYON 
I288180,C137066,Clothing,5,1500.4,15-03-2022,Mall of Istanbul
I216999,C366102,  Technology  ,5, 5250.0 ,18-12-2021,
I119513,C179032,,5,1500.4,04-07-2021,Istinye Park
I315171,C333917,Clothing,2,600.16,26-09-2021,Kanyon
I488659,C243432,Food & Beverage,1,5.23,27-06-2021,Metropol AVM
I930800,C185338,Food & Beverage,4,20.92,20-11-2022,Metrocity
I102395,C316538,Cosmetics,4,162.64,12-01-2021,Metrocity
I425753,C467332,Clothing,3,900.24,Aug 20 2021,Kanyon
I882926,C998322,,5,75.75,21-01-2022,
I498271,C279875,Clothing,4,1200.32,03-22-2021,Kanyon
I206431,C173729,Shoes,2,1200.34,21-07-2021, EMAAR SQUARE MALL 
I195267,C304432,Books,2,30.3,22/12/2021,Forum Istanbul
I476038,C426658,Toys,4,143.36,07-06-2022,Metrocity
I166987,C223349,Food & Beverage,5,26.15,Sep 15 2022,Metropol AVM
I292971,C582777,Souvenir,2,23.46,03-10-2021,Kanyon
I301019,C322852,Shoes,4,2400.68,12-02-2022,Mall of Istanbul
I991240,C730430,Clothing,1,300.08,08-10-2022,Metropol AVM
I334433,C180467,Food & Beverage,3,15.69,2021-01-12,Metropol AVM
I398964,C235412,Toys,2,71.68,08/09/2021,Forum Istanbul
I142669,C137995,Clothing,1,300.08,26-11-2021,Viaport Outlet
I195614,C103634,FOOD & BEVERAGE,2,10.46,10-20-2021,Istinye Park
I215422,C249721,Cosmetics,2,81.32,14-09-2021,Kanyon
I168824,C251110,Toys,3,107.52,30-11-2022,Viaport Outlet
I186282,C213800,Clothing,5,1500.4,01-03-2022,Mall of Istanbul
I170015,C309446,Food & Beverage,4,20.92,04-09-2022,Kanyon
I985406,C612909,  Souvenir  ,4,46.92,14-03-2022,Kanyon
I322584,C126729,Souvenir,3,"35,19",20-02-2022,Mall of Istanbul
I318143,C262065,Cosmetics,5,203.3,15-11-2022,Metrocity
I191658,C331496,Books,5,75.75,28-09-2022,Metropol AVM
I291512,C996660,Clothing,3,900.24,22-04-2022,Mall of Istanbul
I151161,C224106,Food & Beverage,4,20.92,18-10-2021,Kanyon
I150770,C320976,Clothing,4,1200.32,19.02.2023,Forum Istanbul
I647467,C295938,Cosmetics,4,162.64,20-11-2022,Metropol AVM
I129736,C325796,Food & Beverage,4,20.92,11-06-2022,Metropol AVM
I298862,C302939,Food & Beverage,5,26.15,26/07/2022,Metrocity
I109765,C682011,Shoes,3,1800.51,09-12-2022,Kanyon
I822623,C275097,Food & Beverage,4,20.92,18-02-2021,
I922529,C275601,Toys,1,35.84,16/06/2022,Metrocity
I320985,C404093,Souvenir,5,58.65,16-09-2022,Mall of Istanbul
I287485,C264552,Toys,1,35.84,06-02-2021,Kanyon
I140294,C242281,CLOTHING,5,1500.4,02-01-2022,Istinye Park
I193530,C145041,Toys,4,143.36,25-08-2022,Forum Istanbul
I336667,C195491,Clothing,1,300.08,26-10-2021,Kanyon
I150446,C306919,Shoes,5,3000.85,08-08-2021,Kanyon
I267423,C269145,Clothing,4,1200.32,01-02-2023,Mall of Istanbul
I339045,C143701,Clothing,5,1500.4,28-02-2023,Mall of Istanbul
I295641,C991206,Clothing,2,600.16,24-06-2021,Mall of Istanbul
I287968,C925597,Clothing,2,"600,16",13-02-2021,Metrocity
I752995,C762755,BOOKS,2,30.3,22-02-2021,Kanyon
I282766,C380335,Cosmetics,2,81.32,24-02-2023,Zorlu Center
I178154,C170968,Clothing,3,900.24,07-10-2021,Metrocity
I328018,C318189,Cosmetics,2,81.32,04-02-2021,Emaar Square Mall
I251088,C249865,Clothing,2,600.16,01-09-2022,Metrocity
I174635,C227700,clothing,1,300.08,02/10/2022,Forum Istanbul
I358762,C120533,Clothing,4,1200.32,23-04-2022,Metrocity
I274540,C159667,Souvenir,4,46.92,05-06-2021,Mall of Istanbul
I198515,C995272,Toys,2,71.68,May 08 2021,Mall of Istanbul
I263951,C334877,Toys,-3.0,107.52,Feb 15 2021,Mall of Istanbul
I655423,C286722,Shoes,5,3000.85,14-09-2021,Istinye Park
I127336,C117460,Shoes,5,3000.85,14-04-2021,
I115164,C299416,Shoes,4,2400.68,23-07-2021,Istinye Park
I145429,C205447,Clothing,3,900.24,22-08-2022,Kanyon
I166275,C676203,Cosmetics,3,121.98,12-06-2021,Mall of Istanbul
I253561,C230249,Clothing,2,600.16,11-05-2022,Forum Istanbul
I324106,C197866,COSMETICS,4,162.64,31-01-2021,Cevahir AVM
I170600,C173088,Technology,5,5250.0,27-12-2022,Zorlu Center
I869621,C189527,Clothing,2,600.16,21.03.2021,
I621536,C268293,Food & Beverage,1,5.23,15-11-2021,Metrocity
I253452,C112884,Toys,3,107.52,31/07/2021,Metrocity
I921485,C210960,Shoes,4,2400.68,25.01.2021,Istinye Park
I254839,C202891,Clothing,,300.08,03-09-2021,Cevahir AVM
I825313,C113203,Shoes,5,3000.85,07-09-2022,Zorlu Center
I124941,C121634,Clothing,N/A,600.16,03/04/2021,Kanyon
I282422,C371811,Clothing,2,600.16,17-02-2021,Istinye Park
I523670,C117343,Clothing,2,600.16,19-02-2021,Emaar Square Mall
I292398,C214330,Souvenir,1,11.73,22-10-2021,
I515958,C101494,Souvenir,2,23.46,2021-05-22,Cevahir AVM
I116367,C143759,Clothing,5,1500.4,2021-07-08,Istinye Park
I926485,C182980,Cosmetics,4,162.64,12-01-2023,Cevahir AVM
I313184,C163289,Cosmetics,3,121.98,10-10-2021,Metrocity
I471793,C282380,Technology,5,5250.0,09-08-2021,Metropol AVM
I137393,C726791,Food & Beverage,3,15.69,19-10-2022,Kanyon
I172821,C149366,Technology,1,1050.0,02-08-2021,Mall of Istanbul
I325777,C200554,Cosmetics,3,121.98,03-01-2022,Metropol AVM
I523770,C389072,Food & Beverage,4,20.92,10-05-2022,Istinye Park
I333638,C427813,Clothing,4,1200.32,19-06-2021,Kanyon
I338395,C129009,Food & Beverage,5,26.15,12-02-2021,Mall of Istanbul
I683335,C176393,Shoes,1,600.17,13-02-2021,Mall of Istanbul
I944823,C241479,Food & Beverage,1,5.23,07-02-2022,Mall of Istanbul
I170028,C181901,Clothing,5,1500.4,2022-06-08,Metrocity
I226088,C330348,Food & Beverage,1,5.23,2021-09-14,Metrocity
I228502,C653145,Clothing,5,1500.4,01.09.2022,Viaport Outlet
I462943,C377362,Clothing,4,1200.32,13-01-2022,Mall of Istanbul
I197151,C604110,Clothing,-5.0,1500.4,09/04/2021,Mall of Istanbul
I747635,C175410,Cosmetics,1,40.66,01-03-2022,Metrocity
I139338,C470376,Clothing,2,600.16,29-04-2021,Emaar Square Mall
I229000,C327915,Clothing,1,300.08,04.12.2022, FORUM ISTANBUL 
I283100,C449944,,3,107.52,20-07-2021,Mall of Istanbul
I985965,C155235,Clothing,4,1200.32,21-11-2021,Metrocity
I305546,C196550,Toys,1,35.84,21-06-2022, MALL OF ISTANBUL 
I734924,C233501,Clothing,2,600.16,2021-04-26,Mall of Istanbul
I977230,C797637,Shoes,3,1800.51,2023-01-19,Mall of Istanbul
I358353,C159638,Shoes,4,2400.68,04-01-2022,Metrocity
I105784,C234388,Clothing,3,900.24,18-06-2021,Metropol AVM
I942353,C635130,Shoes,1,600.17,14-03-2022,Cevahir AVM
I119180,C140524,Clothing,4,1200.32,02-09-2021,Kanyon
I312415,C317196,Clothing,1,300.08,16-02-2023,Metrocity
I260339,C229034,Books,3,45.45,10-08-2022,
I524191,C464882,  Toys  ,1,35.84,10-03-2022,Metrocity
I180137,C267390,Toys,1,35.84,10-10-2022,Kanyon
I213214,C157628,Technology,3,$3150.0,21-08-2021,Metrocity
I156069,C186477,Clothing,3,900.24,21-02-2023,Mall of Istanbul
I275228,C449231,Clothing,1,300.08,22-07-2022,Kanyon
I177693,C241810,food & beverage,5,26.15,21-10-2022,Emaar Square Mall
I230767,C106684,Clothing,3,900.24,05-11-2022,Metrocity
I732530,C194478,Clothing,,1200.32,04-06-2021, METROCITY 
I146332,C930346,Food & Beverage,1,5.23,01/12/2021,Mall of Istanbul
I296539,C117933,Toys,5,179.2,Mar 18 2021,Metrocity
I261338,C168493,Clothing,3,"900,24",26-12-2022,Metropol AVM
I111424,C532756,Cosmetics,2,81.32,27-10-2021,Kanyon
I153237,C318137,Clothing,1,300.08,11-02-2023, METROPOL AVM 
I399923,C316752,Food & Beverage,2,10.46,04-06-2021,Metrocity
I106050,C318366,Technology,1,1050.0,07-10-2021,Mall of Istanbul
I105176,C956066,Clothing,5,1500.4,03-06-2022,Mall of Istanbul
I538752,C168008,Cosmetics,4,162.64,28-02-2023,Metropol AVM
I151610,C145413,Clothing,2,600.16,06-06-2022,Metrocity
I311664,C542698,Clothing,2,600.16,19-06-2021,Zorlu Center
I126385,C131047,Clothing,1,300.08,06-07-2022,Forum Istanbul
I167275,C308970,Toys,4,143.36,17-05-2022,Mall of Istanbul
I779591,C106950,Clothing,3,900.24,19-09-2022,Viaport Outlet
I160492,C687202,FOOD & BEVERAGE,,20.92,22/11/2022,Metropol AVM
I259551,C157124,Souvenir,1,11.73,13-11-2021,Kanyon
I217112,C399234,Clothing,2,600.16,05-03-2021,Emaar Square Mall
I461470,C376042,Shoes,2,1200.34,03-09-2021,Mall of Istanbul
I115648,C319573,Food & Beverage,2,10.46,07-04-2022,Istinye Park
I169960,C150953,Books,5,75.75,09-02-2022,Kanyon
I327484,C283462,Clothing,1,300.08,19-05-2022,Metrocity
I530936,C231841,Toys,1,35.84,06-07-2021,Metrocity
I200425,C306304,Cosmetics,5,203.3,27-05-2021,Kanyon
I174644,C974362,Books,3,$45.45,15/06/2022,Emaar Square Mall
I342003,C175737,Clothing,5,1500.4,28-02-2021,Mall of Istanbul
I289418,C218901,Clothing,1,300.08,22-10-2022,Metrocity
I167696,C337582,Technology,2,2100.0,Feb 08 2022,Istinye Park
I209762,C284166,Cosmetics,3,121.98,04-14-2022,Kanyon
I769656,C336674,Clothing,4,1200.32,12-04-2021,Metrocity
I329359,C296026,Technology,4,4200.0,27-03-2021,Metropol AVM
I287623,C962346,Clothing,4,1200.32,28-02-2021,
I118476,C158505,Clothing,5,1500.4,18-10-2021,Viaport Outlet
I282653,C297355,Clothing,1,300.08,23.10.2022,Mall of Istanbul
I201354,C147297,Clothing,-3.0,900.24,03-10-2021,Kanyon
I970274,C400277,Food & Beverage,1,5.23,06-05-2022,
I130611,C669812,Shoes,2,1200.34,02-06-2021,Kanyon
I961931,C198390,Souvenir,4,46.92,18-08-2021,Forum Istanbul
I161104,C363191,Toys,5,179.2,08-02-2021,Kanyon
I320473,C173255,Food & Beverage,4, 20.92 ,06-10-2022,Istinye Park
I308519,C207786,Cosmetics,5,203.3,24-01-2023,Mall of Istanbul
I644062,C178624,Clothing,5,1500.4,29-12-2022, MALL OF ISTANBUL 
I107158,C150915,Clothing,4,1200.32,04-10-2021,Metropol AVM
I191637,C114244,Clothing,5,1500.4,10-11-2022,Kanyon
I131045,C118294,Cosmetics,1,40.66,19-02-2023,Istinye Park
I302873,C120002,Cosmetics,5,203.3,29-08-2021,Metropol AVM
I246896,C662136,Toys,3,107.52,29/11/2022,Mall of Istanbul
I779511,C247392,Clothing,4,1200.32,23-11-2021,Viaport Outlet
I164781,C122643,Toys,1, 35.84 ,01-01-2023,Forum Istanbul
I890966,C956522,Toys,5,179.2,24-01-2023,Mall of Istanbul
I206672,C203212,Clothing,3,900.24,2021-04-02,Istinye Park
I269933,C312240,  Clothing  ,2,600.16,26-04-2022, FORUM ISTANBUL 
I165766,C186807,Shoes,,1800.51,25-11-2021,Cevahir AVM
I134456,C144198,Toys,5,179.2,14.01.2023,Mall of Istanbul
I231108,C689045,Clothing,5,1500.4,23-12-2021,Istinye Park
I847102,C319593,Cosmetics,3,121.98,19-07-2021,Emaar Square Mall
I181145,C272450,Shoes,1,600.17,18-04-2021,Mall of Istanbul
I537233,C122394,Books,,75.75,26-12-2022,Forum Istanbul
I330138,C262547,Cosmetics,4,-162.64,10-01-2021,Metropol AVM
I253158,C172916,Technology,2,2100.0,10.04.2021,Istinye Park
I770609,C249178,Technology,4,4200.0,06-10-2021,Metrocity
I500902,C136181,Clothing,4,1200.32,12-08-2022,Kanyon
I149996,C421893,Food & Beverage,4, 20.92 ,22-03-2021,Mall of Istanbul
I780122,C191759,Clothing,2,600.16,08-04-2021,Zorlu Center
I324316,C136103,Clothing,5,1500.4,05-12-2021, METROPOL AVM 
I278280,C782030,Clothing,4,1200.32,16-09-2021,Cevahir AVM
I289283,C286121,Clothing,1,300.08,06-04-2022,Zorlu Center
I255203,C341934,clothing,1,300.08,10-05-2022,Metrocity
I120725,C141458,Clothing,2,600.16,16-04-2021,
I139100,C105983,Toys,5,179.2,04-03-2023,Mall of Istanbul
I634223,C208787,Clothing,2,600.16,Oct 14 2022,Kanyon
I122008,C179314,Clothing,2,600.16,09-11-2022,Emaar Square Mall
I187793,C258409,  Clothing  ,2,600.16,29-03-2021,Cevahir AVM
I224968,C167124,Clothing,4,1200.32,07-08-2022,Metropol AVM
I830379,C941830,Shoes,3,1800.51,20/12/2021,Mall of Istanbul
I148690,C255473,Souvenir,4,46.92,25-10-2021,Istinye Park
I214288,C266751,Clothing,2,600.16,23-10-2021,Forum Istanbul
I995074,C269513,Clothing,5,1500.4,07-29-2022,Kanyon
I313063,C150429,Shoes,3,1800.51,26-03-2021,Kanyon
I507320,C313826,Books,4,60.6,07-10-2022,Metrocity
I690959,C324154,Shoes,4,2400.68,13-04-2022,Kanyon
I289806,C300375,Clothing,3, 900.24 ,30-06-2022,Metrocity
I687382,C973834,Clothing,1,300.08,08-05-2022,Mall of Istanbul
I321539,C153205,Souvenir,2,23.46,02-08-2022,Mall of Istanbul
I323603,C161339,Shoes,3,1800.51,05-02-2023,Zorlu Center
I178114,C136186,Clothing,4,1200.32,11-07-2021,Metropol AVM
I239706,C649842,Cosmetics,1,40.66,02-05-2021,Metrocity
I253294,C133985,Food & Beverage,1,5.23,30-07-2022,Kanyon
I515432,C102319,Shoes,3,1800.51,08-04-2021,Mall of Istanbul
I397321,C191120,Clothing,3,900.24,20-01-2023,Forum Istanbul
I149361,C171066,Toys,1,35.84,29-03-2021,Metrocity
I816301,C788445,Clothing,2,600.16,04-07-2021,Mall of Istanbul
I131967,C620437,Food & Beverage,1,5.23,04-08-2022,Istinye Park
I404906,C233169,Souvenir,3,35.19,26-06-2022,Cevahir AVM
I101621,C325188,Souvenir,4,46.92,19-03-2022,Kanyon
I911007,C108625,Toys,5,179.2,08-09-2021,Istinye Park
I380725,C121044,Cosmetics,2,81.32,17-02-2023,Kanyon
I496422,C199210,Cosmetics,4,162.64,11-06-2022,Kanyon
I213942,C656188,Toys,2,71.68,13-07-2021,Mall of Istanbul
I103220,C111229,Clothing,2,600.16,17-04-2022,Metropol AVM
I669507,C294874,Souvenir,1,11.73,02-09-2021,Mall of Istanbul
I127618,C823998,Clothing,3,900.24,Feb 16 2021, VIAPORT OUTLET 
I126253,C732384,Clothing,5, 1500.4 ,02-02-2021,Metrocity
I273665,C142435,Food & Beverage,,15.69,18-11-2021,Kanyon
I297411,C916270,  Technology  ,4,4200.0,22-03-2021,Istinye Park
I728098,C299067,Food & Beverage,1,5.23,23-06-2022,Kanyon
I144199,C276550,Clothing,3,900.24,21-09-2021,Kanyon
I256014,C360045,food & beverage,3,15.69,10-09-2021,Kanyon
I182618,C114812,Cosmetics,3,121.98,2021-09-23,Cevahir AVM
I295480,C138949,Clothing,5,1500.4,02-03-2021,Metropol AVM
I310435,C139847,Toys,3,107.52,04-05-2022,Mall of Istanbul
I329982,C152906,Cosmetics,5,203.3,17-08-2022,Istinye Park
I102332,C116250,Technology,5,5250.0,05-08-2022,Istinye Park
I526071,C559554,technology,5,-5250.0,18-05-2022,Emaar Square Mall
I759554,C889154,Food & Beverage,5,26.15,2021-09-25,Viaport Outlet
I192399,C952198,Clothing,4,1200.32,18-05-2021,Kanyon
I231903,C213912,Shoes,2,1200.34,16-01-2023,Istinye Park
I174886,C923347,Clothing,5,1500.4,03-07-2021,Mall of Istanbul
I332883,C733045,Shoes,1,600.17,15-06-2021,Mall of Istanbul
I236337,C393584,Clothing,1,300.08,11-01-2022,Kanyon
I483996,C412239,Food & Beverage,4,20.92,14.05.2021,Kanyon
I715483,C302022,Food & Beverage,2,10.46,14-03-2021,Emaar Square Mall
I173732,C873728,Clothing,3,900.24,18-11-2021,Istinye Park
I220787,C158701,Clothing,5,1500.4,09-02-2022,Mall of Istanbul
I254877,C139068,Technology,2,2100.0,2021-02-04,Metropol AVM
I317821,C249382,Cosmetics,5,"203,3",23.04.2021,Mall of Istanbul
I184542,C215282,Cosmetics,3,121.98,31-07-2022,Mall of Istanbul
I969795,C281669,Clothing,4,1200.32,26-06-2021,Metrocity
I332582,C260810,Souvenir,5,58.65,28-10-2022,Metropol AVM
I107984,C326467,Shoes,5,3000.85,20-09-2021,Istinye Park
I266914,C130074,toys,2,71.68,13-09-2021,Emaar Square Mall
I311913,C269838,Technology,5,5250.0,18-11-2021,Cevahir AVM
I288198,C181087,Food & Beverage,4,20.92,Oct 16 2021,Istinye Park
I227414,C473319,Clothing,2,600.16,26-06-2021,Mall of Istanbul
I141448,C909138,Cosmetics,4,162.64,24-04-2021,Istinye Park
I140360,C960525,Cosmetics,5,203.3,12.01.2021,Forum Istanbul
I221853,C233781,Clothing,4,1200.32,18-08-2022,Metrocity
I252434,C146952,Clothing,3,900.24,17-06-2021,Kanyon
I177318,C251096,  Cosmetics  ,5,203.3,13-06-2022,Metrocity
I321732,C235541,Shoes,,1800.51,18-11-2022,Mall of Istanbul
I296287,C684352,Clothing,3,900.24,03-09-2022,Istinye Park
I420041,C103583,  Clothing  ,4,1200.32,Jun 01 2021,Zorlu Center
I330453,C583484,Shoes,3,1800.51,24-07-2022,Zorlu Center
I175143,C986782,Cosmetics,1,40.66,05-12-2022,Metropol AVM
I325446,C287387,Food & Beverage,4,20.92,20/07/2021, KANYON 
I233687,C201572,Cosmetics,4,162.64,10-04-2021, KANYON 
I109183,C264073,Clothing,4,1200.32,30-01-2021,Mall of Istanbul
I443008,C299644,Clothing,3,900.24,30.08.2021,Metropol AVM
I996241,C970611,Clothing,2,600.16,15-01-2021,Mall of Istanbul
I937013,C100383,Food & Beverage,1,5.23,16-02-2022,Viaport Outlet
I194997,C327511,Food & Beverage,1,5.23,10-29-2022,Mall of Istanbul
I124483,C230311,Clothing,1,300.08,2021-10-03,Metrocity
I249220,C112938,Clothing,2,600.16,11-05-2022,Emaar Square Mall
I310033,C164406,Food & Beverage,4,20.92,19-08-2021,Cevahir AVM
I182288,C300347,Clothing,3,900.24,03-02-2021,Metropol AVM
I237036,C836081,Shoes,4,$2400.68,16-04-2022,Mall of Istanbul
I186943,C830467,Toys,3,107.52,05-03-2022,Viaport Outlet
I204411,C175276,Clothing,4,1200.32,28-02-2022,Kanyon
I275080,C287188,Shoes,1,600.17,14-04-2021,Metrocity
I251018,C101633,Clothing,2,600.16,03-08-2021,Viaport Outlet
I245330,C522026,CLOTHING,4,1200.32,06-02-2021,Kanyon
I113339,C198365,Food & Beverage,5,26.15,31-08-2021,Zorlu Center
I167179,C810708,Souvenir,3,35.19,15-12-2021,Zorlu Center
I168493,C270735,Food & Beverage,4,20.92,16-12-2022,Mall of Istanbul
I188758,C171512,Cosmetics,2,81.32,25-01-2022,Metropol AVM
I182979,C846195,Cosmetics,5,203.3,22-10-2022,Istinye Park
I453526,C221633,Toys,4,143.36,27-02-2022,Mall of Istanbul
I244387,C520269,Food & Beverage,4,20.92,06-12-2021,Metropol AVM
I260641,C703883,Clothing,2,600.16,08-05-2022,Emaar Square Mall
I218806,C210621,Cosmetics,3,121.98,16.11.2021,Kanyon
I267523,C178391,Cosmetics,3,121.98,13-01-2022,Mall of Istanbul
I245184,C183286,Food & Beverage,5,26.15,12-01-2021,Mall of Istanbul
I216719,C186234,CLOTHING,1,300.08,21-02-2021,Istinye Park
I125095,C237606,Clothing,2,600.16,01-01-2023,Istinye Park
I140277,C185944,Cosmetics,5,203.3,02-03-2022,Metrocity
I259449,C163306,Cosmetics,4,162.64,06-09-2021,Forum Istanbul
I207224,C106996,Food & Beverage,4,20.92,20-08-2022,Zorlu Center
I551530,C853573,Shoes,2,1200.34,12-04-2021,
I190856,C260902,Clothing,2,600.16,Jan 05 2021,Mall of Istanbul
I218244,C459672,Clothing,1,300.08,09-11-2022,Mall of Istanbul
I193448,C221495,Shoes,2,1200.34,03-06-2022,Viaport Outlet
I239669,C197581,Cosmetics,2,"81,32",07-07-2021, ISTINYE PARK 
I308538,C322860,Shoes,2,1200.34,01-11-2022,Mall of Istanbul
I907074,C287223,Cosmetics,3,121.98,11-12-2021,Metrocity
I321686,C184536,Cosmetics,3,121.98,17-07-2022,Kanyon
I144166,C289313,Cosmetics,1,40.66,12.08.2022,Metrocity
I204525,C640505,Food & Beverage,4,20.92,23-03-2021,Kanyon
I277990,C267533,Food & Beverage,3,15.69,27-02-2023,Metrocity
I212156,C116029,Clothing,4,-1200.32,07/02/2023,Istinye Park
I338024,C224935,Clothing,3,900.24,09-05-2022, MALL OF ISTANBUL 
I260018,C284617,Souvenir,3,35.19,21-09-2022,Metrocity
I128562,C197013,Clothing,3, 900.24 ,29-12-2021,Mall of Istanbul
I209921,C832023,FOOD & BEVERAGE,4,$20.92,05-01-2021,Metropol AVM
I308266,C105882,Souvenir,3,35.19,16-02-2023,Mall of Istanbul
I122492,C536709,FOOD & BEVERAGE,1,5.23,Jan 06 2022,Istinye Park
I482126,C273940,Souvenir,2,23.46,06-09-2022,Viaport Outlet
I610921,C130935,Cosmetics,5,203.3,26-06-2021,Forum Istanbul
I502940,C172359,Clothing,3,900.24,26-09-2022,Cevahir AVM
I578299,C129099,Clothing,4,1200.32,20-09-2021,Cevahir AVM
I265953,C646733,Cosmetics,3,121.98,29-01-2023,Metrocity
I617812,C590389,Cosmetics,1,40.66,21-10-2022,Zorlu Center
I290746,C302360,Technology,2,2100.0,24-06-2021,Metrocity
I249326,C150815,Shoes,4,2400.68,12-02-2022,Mall of Istanbul
I305434,C103691,Clothing,2,600.16,01-12-2022,Emaar Square Mall
I125242,C227167,Food & Beverage,1,5.23,2022-01-20,Metrocity
I211794,C190100,Clothing,2,"600,16",14-01-2021,Kanyon
I267793,C118793,Clothing,4,1200.32,26-08-2022,Istinye Park
I711918,C147734,Shoes,2,1200.34,30-12-2021,Kanyon
I108456,C731842,Clothing,1,300.08,13-04-2021,
I900305,C273578,Books,5,75.75,10-28-2021,Metropol AVM
I289804,C181179,Toys,2,71.68,04-26-2021,Kanyon
I137437,C972878,Books,1,15.15,08-02-2023,Metropol AVM
I156692,C437048,Clothing,5,$1500.4,11-01-2022,
I196590,C319687,  Souvenir  ,2,23.46,28-02-2022,Kanyon
I181373,C115034,Shoes,4,2400.68,01-06-2021,Mall of Istanbul
I218774,C299347,Clothing,5,1500.4,27/08/2021,Metrocity
I330514,C231535,Clothing,4,1200.32,14-12-2021,Kanyon
I176656,C166111,Food & Beverage,5,26.15,22-09-2022,Mall of Istanbul
I309905,C299817,Toys,2,71.68,08-06-2022,Kanyon
I241248,C870156,Clothing,4,1200.32,11-06-2021,Istinye Park
I180753,C212345,Shoes,3,1800.51,30-09-2022,Mall of Istanbul
I246989,C272145,Clothing,3,900.24,23-12-2021,Zorlu Center
I494506,C165188,Toys,3,107.52,02-08-2022, CEVAHIR AVM 
I150864,C681789,Clothing,3,900.24,14-02-2023,Cevahir AVM
I250154,C258358,Souvenir,4,46.92,13-01-2022,Mall of Istanbul
I249648,C642702,Clothing,2,"600,16",05-06-2021,Metrocity
I139516,C902463,Books,3,45.45,28-07-2022,
I171595,C159200,  Shoes  ,5,3000.85,Jul 17 2021,Kanyon
I261568,C201632,Clothing,2,600.16,25-04-2021,Kanyon
I112309,C254906,Clothing,5,1500.4,30-01-2022,Metrocity
I180097,C228512,  Food & Beverage  ,1,5.23,01-07-2021,Kanyon
I183031,C242977,Toys,1, 35.84 ,06-10-2022,Mall of Istanbul
I256237,C147328,Shoes,3, 1800.51 ,21-05-2021,Mall of Istanbul
I506243,C128684,Clothing,-3.0,900.24,07-11-2021,Istinye Park
I318949,C163629,Technology,3,3150.0,15-01-2022,Istinye Park
I209111,C271588,Shoes,3,1800.51,18/02/2021,Metrocity
I317276,C256258,,3,900.24,18-02-2023,Zorlu Center
I136659,C189635,Cosmetics,1,40.66,27-01-2022,Cevahir AVM
I107743,C133264,Cosmetics,5,203.3,10-08-2022,Forum Istanbul
I957188,C211533,Toys,5,179.2,25-10-2021,Emaar Square Mall
I812854,C470695,Shoes,3,1800.51,12-07-2022,Kanyon
I332424,C234719,Shoes,4,2400.68,06/05/2022,Emaar Square Mall
I238501,C315225,Clothing,3,900.24,22-06-2021,Mall of Istanbul
I832158,C222313,Cosmetics,1,40.66,14-03-2021,Mall of Istanbul
I231615,C336071,Food & Beverage,5,26.15,30-07-2021,Metrocity
I103948,C768998,Clothing,4,1200.32,06-07-2022,Mall of Istanbul
I196404,C932258,Books,1,15.15,15-01-2023,Metrocity
I124454,C326533,FOOD & BEVERAGE,2,10.46,15-06-2022,Metrocity
I229689,C120639,Clothing,2,600.16,2021-09-04,Mall of Istanbul
I179977,C188142,Clothing,3,900.24,05-06-2021,
I158962,C535212,Clothing,2,600.16,18-01-2021,Metropol AVM
I658298,C358778,Shoes,3,1800.51,26-01-2023,Emaar Square Mall
I132011,C182711,food & beverage,5,26.15,19-10-2021,Kanyon
I306227,C163689,Food & Beverage,2,10.46,13-01-2023,Emaar Square Mall
I207287,C194041,Food & Beverage,2,10.46,16-06-2022,Cevahir AVM
I152544,C212238,Food & Beverage,5,26.15,22-07-2022,Istinye Park
I324128,C357108,Clothing,2,$600.16,18-01-2021,Emaar Square Mall
I193783,C727616,Souvenir,1,11.73,21-09-2021, KANYON 
I244365,C420247,Cosmetics,1,40.66,31-08-2022,Mall of Istanbul
I183098,C178988,Souvenir,2,23.46,10-12-2021,Metropol AVM
I206679,C137819,Food & Beverage,5,26.15,31-03-2021,Kanyon
I333796,C627305,Clothing,4,1200.32,10-04-2021,Mall of Istanbul
I460840,C332361,Clothing,5,1500.4,24-04-2021,Emaar Square Mall
I246925,C223579,Shoes,2,1200.34,27-10-2022,Mall of Istanbul
I327199,C231148,Food & Beverage,1,5.23,10-10-2022,Mall of Istanbul
I282893,C500518,Books,4,60.6,2022-03-12,Zorlu Center
I216407,C167615,Clothing,1,300.08,Jul 31 2021,
I331019,C197702,Cosmetics,2,81.32,19-08-2021,Kanyon
I121179,C734729,Clothing,4,1200.32,06-03-2023,Mall of Istanbul
I819463,C448509,Cosmetics,5,203.3,27-04-2021,Kanyon
I943543,C525345,Food & Beverage,4,-20.92,04-10-2021,Kanyon
I795699,C775993,Clothing,3,900.24,07-11-2022,Kanyon
I296561,C277491,Clothing,1,300.08,03-02-2022,Kanyon
I272099,C241883,Clothing,1,$300.08,16-05-2021,Cevahir AVM
I285441,C738398,Clothing,3,900.24,09/10/2021,Istinye Park
I304772,C320357,Books,4,60.6,19-07-2021,Istinye Park
I209943,C199746,Cosmetics,3,121.98,2021-04-29,Mall of Istanbul
I941184,C190186,Books,5,75.75,09-03-2021,Mall of Istanbul
I771339,C114063,Toys,2,71.68,19-05-2022,Istinye Park
I718982,C608477,Food & Beverage,5,26.15,08-03-2021,Istinye Park
I162340,C109409,CLOTHING,2,600.16,09-01-2023,Metropol AVM
I266006,C260992,Clothing,4,1200.32,21-04-2022,Metropol AVM
